ra,dec,B2_cut_probability
80.99335144646123,40.91100229655791,0.684
97.93595940753396,-10.51886602275111,0.512
122.77325577896704,-31.27017742284376,0.572
269.7739965650199,-24.43510129906096,0.756
275.1544859125248,-13.501152281019133,0.252
104.80594754076878,4.454974832510936,0.05
171.29365451621518,-60.25657511256439,0.372
84.59258396320533,23.98240375164437,0.262
286.144185065804,-0.1097418655794606,0.31
35.29832462268809,56.853907391814175,0.886
51.2939590775662,56.686338405127294,0.45
121.583076712572,-31.222673629994183,0.696
277.4560736338954,-24.52498687963313,0.09
45.367249098983,56.75143732520888,0.906
323.83825168148473,51.389563523234536,0.11
294.8090021426457,18.68379512099656,0.81
164.3927109787257,-60.21648094576338,0.298
36.33496529125425,56.85384548561041,0.942
220.2917830678653,-64.52207461882998,0.194
109.19260678927937,-10.77039310981305,0.726
197.78244593877227,-64.34362149961163,0.478
233.097570725702,-54.28902835900708,0.15
308.4934387271384,51.66417827884073,0.354
74.71981886316038,24.495688594644875,0.386
269.1816017847425,-24.370284216212887,0.47
34.58622334410607,56.88714298885326,0.69
116.00490850853606,-31.13033587790454,0.49
44.73389876264912,56.77922977752121,0.786
94.98683418886944,23.73927588618139,0.816
242.83526242559228,-54.35413510060747,0.698
98.06450416363865,4.922332043917458,0.174
285.93093006895685,-0.0552725080011494,0.532
95.26065352327424,23.75044891270697,0.444
276.4242691922025,-13.456377188193969,0.826
123.37759504251008,-31.212175260548143,0.606
295.269831579648,18.701143039154296,0.238
191.99157565480328,-60.33746068584087,0.27
158.0692117875658,-60.17026024369845,0.43
186.5505821446969,-64.21485084115278,0.046
271.11335912052107,-24.380464053289305,0.112
303.41617172785897,35.01507528701351,0.836
277.49457796519533,-24.48552910643305,0.436
271.166278045959,-24.379079760829004,0.078
110.23605731516116,-22.48894310056156,0.942
357.9594848107234,62.43834419610352,0.81
267.0413980625586,-32.883847837717035,0.934
226.18530134637643,-60.4590486532184,0.936
35.392178874990606,56.913173165830976,0.586
132.63648417387802,-42.55899631542551,0.824
170.28782637641655,-88.00519946648825,0.4
217.25598129999017,-87.43897535712166,0.462
184.15914327526625,-87.31789055359482,0.198
286.4750140013955,-86.22124948105564,0.15
316.34960162584593,-86.10033824822985,0.234
124.75847064973809,-83.75288176681174,0.266
239.3915758470261,-83.73447913418154,0.032
247.5895275711084,-83.53381072794977,0.032
198.6427904254372,-83.00049722181642,0.47
202.65130984479583,-82.75818464132922,0.132
239.37856160265508,-82.63861772274994,0.296
305.0856915820437,-82.42770173556532,0.12
206.06208477608573,-82.32111411235147,0.072
209.599162079798,-82.26821576054492,0.23
226.6704584273081,-82.22995032625657,0.232
101.3325068144752,-82.16417828689121,0.116
151.52044791041095,-81.98577568934783,0.5
220.6852490557659,-81.77045050938662,0.096
193.353148153439,-81.75457746925954,0.21
123.65874560709028,-81.29509094905183,0.182
103.82500058197624,-81.27170179087736,0.282
26.793288521227183,57.00682351715832,0.398
124.2880063772194,-22.65039452688565,0.67
239.18833939364907,-80.47196202806093,0.242
95.24808533840329,23.80071103326131,0.466
88.43189223686176,-79.97088728993856,0.112
165.06187792717105,-79.78463943703076,0.156
155.76134531537213,-79.74047738964641,0.682
161.92405827590667,-79.70535346584712,0.568
266.05346562782944,-79.52070910664885,0.602
4.823034759972731,-79.0309645376872,0.226
176.19469790946917,-78.51827999999293,0.08
213.96325083602545,-78.30766929866867,0.78
335.69715296561264,-78.1977684001749,0.124
199.41790016279023,-78.1645844701325,0.142
204.3425842219327,-78.08894030673076,0.11
152.60586406099063,-78.0285396885707,0.596
173.57247029941036,-77.96799988240072,0.142
171.11681965826926,-77.88095306890887,0.096
188.42978424507305,-77.74465387780498,0.326
266.7926862067053,-77.62219552578829,0.13
142.88422063929823,-77.58880052223913,0.778
210.7165460069781,-77.53172582287546,0.2
235.8352251482601,-77.51690795708589,0.088
145.42513417698368,-77.47986895715671,0.072
242.91831255874376,-54.32811591605864,0.324
206.56864508266904,-77.34421073680173,0.156
183.60086773934896,-77.29350740239376,0.164
230.45699610465783,-77.2892067177956,0.224
317.35450267132694,-77.28861809698694,0.27
120.02979289354866,-77.22651835456544,0.194
236.05891689438832,-77.2010335722363,0.082
159.3103907787906,-77.19761494324982,0.198
189.59699374833644,-77.16175081104507,0.388
256.21064639707123,-77.15270246416573,0.036
180.88647402863063,-76.94712984421687,0.158
