SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name
142.52,283.48411,42.582246,LAMOST J185356.18+423456.0,True,12.57084,spec-56573-KP185031N425443V01_sp08-241.fits
159.93,59.960191,55.435864,LAMOST J035950.44+552609.1,True,3.67835,spec-59193-HD040922N544943V02_sp14-174.fits
200.33,95.269242,22.169481,LAMOST J062104.61+221010.1,True,19.17944,spec-57788-HIP29425K201_sp06-106.fits
179.52,63.896822,52.045143,LAMOST J041535.23+520242.5,True,-16.53355,spec-56590-GAC066N53V1_sp02-026.fits
634.36,94.781534,11.018152,LAMOST J061907.56+110105.3,True,23.84026,spec-58168-HD061556N101654V01_sp09-045.fits
24.32,94.394153,23.265304,LAMOST J061734.59+231555.0,True,15.69144,spec-58875-HD062534N222728V01_sp14-213.fits
454.74,105.18386,10.401369,LAMOST J070044.12+102404.9,True,3.29169,spec-55939-GAC_104N11_V2_sp07-112.fits
226.97,91.951255,21.64608,LAMOST J060748.30+213845.8,True,5.49045,spec-57391-KP061029N225952V01_sp05-205.fits
173.0,51.321421,51.127651,LAMOST J032517.14+510739.5,True,11.63729,spec-57378-HD032738N493559V01_sp11-086.fits
48.35,94.490065,23.087477,LAMOST J061757.61+230514.9,True,-11.63042,spec-58456-KII061029N225952V01_sp06-027.fits
248.11,94.986928,23.738152,LAMOST J061956.86+234417.3,True,-11.84411,spec-58456-KII061029N225952V01_sp13-019.fits
14.74,89.862818,16.977714,LAMOST J055927.07+165839.7,True,23.3407,spec-58160-HD055458N172406V01_sp08-062.fits
119.27,55.663965,58.45948,LAMOST J034239.35+582734.1,True,-21.54015,spec-56559-HD035343N575830V01_sp14-166.fits
46.58,102.50462,20.152506,LAMOST J065001.10+200909.0,True,-3.75374,spec-56287-GAC101N22V5_sp07-175.fits
110.26,81.184617,41.665614,LAMOST J052444.30+413956.2,True,-22.98604,spec-56587-GAC079N41V1_sp09-182.fits
70.85,95.012186,24.229815,LAMOST J062002.92+241347.3,True,-11.26092,spec-58457-KII062257N223048V01_sp16-106.fits
249.65,67.749212,55.061863,LAMOST J043059.81+550342.7,True,-17.07457,spec-56590-GAC066N53V3_sp12-096.fits
157.26,79.594814,41.935024,LAMOST J051822.75+415606.0,True,-22.4971,spec-56587-GAC079N41V2_sp15-192.fits
207.15,113.434067,20.69313,LAMOST J073344.17+204135.2,True,26.93761,spec-58926-HD074215N205835V01_sp10-016.fits
26.05,93.009069,21.288215,LAMOST J061202.17+211717.5,True,26.50497,spec-57782-HIP29425K201_sp01-087.fits
