phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,j_m,h_m,ks_m,parallax,spclass
9.226915,9.426006,8.881602,8.492,8.38,8.271,2.125813615080333,A
9.745465,9.903991,9.460209,9.13,9.038,9.004,1.470518392060132,B
14.222866,13.894066,13.042763,12.457,12.269,12.167,0.2770606205138162,A
11.183056,11.45022,10.733527,10.146,9.927,9.727,0.8995294892728861,A
11.052612,11.141454,10.863783,10.667,10.616,10.646,0.5918167023854187,O
9.058221,9.083549,8.96992,8.847,8.885,8.862,1.4606091650192758,B
10.012289,10.180582,9.7052965,9.302,9.189,9.108,1.184751384636195,B
10.714309,10.873167,10.413705,10.013,9.933,9.848,1.0590814242846782,B
9.764453,9.589401,9.354261,9.149,9.145,9.139,0.3869809922060818,B
10.095019,10.285214,9.751769,9.403,9.277,9.224,1.171540369630127,O
10.663371,11.016139,10.133536,9.527,9.386,9.287,0.4103844995737774,A
10.499613,10.911792,9.896149,8.882,8.643,8.415,0.9203709815728742,O
11.343992,11.57486,10.969628,10.516,10.334,10.312,0.7024976506763325,A
10.798167,10.95593,10.475415,10.188,10.097,10.061,-0.0844857554520773,O
10.4123535,10.720896,9.928927,9.453,9.335,9.316,0.9572170887263064,B
13.155295,13.151553,13.153012,13.165,13.197,13.185,-0.0064352532050062,B
7.698279,7.7027106,7.64963,7.539,7.615,7.572,2.453880114408251,O
10.094824,10.37601,9.64864,9.113,8.959,8.879,1.6045563239172402,A
8.610372,8.974029,8.06778,7.489,7.246,7.102,3.13939853703742,A
14.279289,16.674473,12.675723,9.947,9.104,8.737,-0.0321458783810812,A
10.275785,10.406319,9.903061,9.559,9.408,9.391,0.9999759851691676,O
11.787211,11.974814,11.468767,11.063,10.962,10.923,0.4909811363414026,A
10.32309,10.500923,9.989948,9.57,9.505,9.407,1.293115143473464,A
13.296499,13.640156,12.780351,12.103,11.855,11.776,0.3933833220980188,A
10.020589,10.129963,9.805831,9.528,9.49,9.405,1.125812888925784,B
8.548141,8.711891,8.241709,7.879,7.814,7.749,2.599339885911364,B
9.915233,9.396003,8.585936,7.922,7.524,7.418,1.6278745233937597,B
8.1399765,8.129207,8.027055,7.893,7.881,7.864,1.8000924343505036,B
6.674239,6.6581516,6.6531515,6.643,6.683,6.649,2.3866106777881724,O
6.3143835,6.259302,6.3687887,6.447,6.478,6.544,1.4504620459194904,O
11.102649,11.382995,10.646007,10.051,9.951,9.827,0.5367847660604087,B
8.70553,8.6589,8.751994,8.857,8.9,8.899,1.4060527502454732,O
8.410766,8.477436,8.247975,8.047,8.026,8.005,1.975678957475575,B
11.240076,11.418913,10.922448,10.486,10.394,10.331,0.6658721545804207,B
12.210361,12.408347,11.856104,11.464,11.363,11.326,0.5003785333341477,O
9.583499,9.585431,9.5485115,9.486,9.493,9.465,1.2043625482053328,O
6.3953347,6.321241,6.5045733,6.656,6.744,6.743,3.2979409009306364,O
11.1525135,11.246663,10.960362,10.718,10.682,10.598,0.6221163924151975,B
8.786294,9.105729,8.287591,7.685,7.454,7.371,1.126616741895112,A
8.720523,8.72886,8.667788,8.559,8.542,8.551,1.9043236797543897,B
8.797668,9.039937,8.3486395,7.832,7.683,7.584,0.5316315344532876,O
8.562367,8.765085,8.203768,7.807,7.688,7.575,2.7123860087974974,A
10.214301,10.3695,9.916247,9.55,9.495,9.422,0.9606779636495074,B
8.800294,8.814662,8.724816,8.644,8.651,8.632,0.9310419202962968,O
9.371063,9.666526,8.900846,8.373,8.171,8.09,2.2155886051058,A
7.6027784,7.6247535,7.52197,7.387,7.437,7.398,3.293786854427726,B
8.492217,8.723489,8.080333,7.568,7.393,7.309,0.7246317797618226,B
7.431588,7.4147916,6.8714247,6.477,6.369,6.297,5.346099041178381,A
5.8804245,6.063762,5.5538588,5.201,5.072,4.975,8.495356634690754,A
11.007473,11.146047,10.750006,10.434,10.307,10.296,0.6771705320263386,B
11.09659,11.41375,10.552277,9.797,9.496,9.417,0.1063047813172087,A
9.261852,9.310056,9.142827,8.965,8.957,8.922,1.1132927673729138,B
5.0481014,4.983852,5.1520014,5.384,5.439,5.461,5.698205480823601,O
9.047172,9.056985,8.982332,8.928,8.889,8.897,1.3766869128575654,O
9.654239,9.984029,9.150028,8.632,8.389,8.27,2.0795288578582984,A
11.131424,11.288152,10.856391,10.536,10.451,10.372,0.6590509033617792,A
10.553476,10.799819,10.13685,9.704,9.598,9.535,0.9244636340540155,B
9.053618,9.191799,8.790748,8.506,8.456,8.319,1.5572372703833552,B
10.15509,10.334356,9.82672,9.39,9.279,9.23,1.2903881774069914,B
10.102078,10.103954,10.061332,10.059,10.055,10.006,0.6939517070066277,B
10.2504015,10.205922,10.305212,10.385,10.471,10.488,0.7765772567616495,O
10.291836,10.428325,10.031039,9.728,9.639,9.549,1.0781552917434196,B
7.7506137,7.775877,7.6512065,7.493,7.486,7.485,2.1955876586213976,B
9.466816,9.805697,8.94723,8.318,8.046,7.939,0.775139344888125,A
9.810112,10.225191,9.2183275,8.507,8.203,8.09,2.3397532875086697,A
13.380702,14.213691,12.4686575,11.08,10.612,10.382,0.1254583550142633,A
11.080101,11.353914,10.646556,10.165,9.938,9.849,1.0677944008272564,A
12.153033,12.411624,11.726578,11.259,11.146,11.102,0.4739208887220095,A
6.376882,6.322523,6.4395804,6.549,6.664,6.61,2.6580352714377584,O
7.5627637,7.6581397,7.319048,7.025,6.984,6.908,2.252781105458399,B
10.039576,10.263983,9.642863,9.197,9.143,9.067,0.7030234673202359,A
10.677172,10.72742,10.502261,10.312,10.302,10.26,0.340246076541966,O
8.495066,8.611891,8.236547,7.847,7.75,7.753,1.9117567902081027,B
7.813246,8.057885,7.3996205,6.941,6.786,6.679,4.188077487328463,A
11.751902,11.887174,11.500417,11.145,11.103,11.045,0.5305549340877029,O
10.739581,11.014577,10.3033285,9.773,9.602,9.512,1.1319751133156877,A
11.567278,11.752898,11.232299,10.795,10.718,10.694,0.4948846258737391,O
7.230401,7.181328,7.163555,7.037,7.073,7.034,2.456486635219087,O
13.481749,13.511582,13.426207,13.313,13.369,13.195,-0.0069579910468173,B
9.193382,9.313111,8.950875,8.633,8.529,8.507,1.6559315425124346,B
15.385543,15.425737,15.319055,15.225,15.31,15.248,0.0743048379800475,B
12.234601,12.489949,11.804847,11.296,11.148,11.134,0.3502853216376244,O
10.416637,10.653092,10.006475,9.517,9.453,9.364,0.8232326756828948,B
14.405854,14.511993,14.203397,13.948,13.917,13.836,0.1630727940836678,O
8.368894,8.66181,7.894113,7.325,7.074,6.985,0.2479827217001064,A
9.292621,9.088941,8.353287,7.717,7.371,7.307,1.9657278982832425,A
13.940881,14.047651,13.7442,13.471,13.415,13.327,0.0001528314246975,B
9.716341,9.806561,9.508686,9.411,9.373,9.383,0.4068849918895473,O
9.7007675,10.109609,9.099286,8.229,7.949,7.835,0.8388629861491019,A
13.910163,13.50375,12.630276,12.038,11.747,11.672,0.4016338276317905,A
7.0615554,7.009527,7.10547,7.28,7.281,7.244,1.7860878533230742,O
10.413161,10.870908,9.490021,8.305,7.91,7.656,0.1511992348968966,O
8.186425,8.180626,8.144075,8.142,8.168,8.182,1.820125607334792,O
9.909529,10.454076,9.192338,8.212,7.859,7.714,0.8524208060040737,A
11.719305,12.197523,11.05748,10.251,10.057,9.953,0.8328624545721172,A
14.48542,14.840443,13.943255,13.278,13.044,13.001,0.1900126784657125,A
9.935281,9.957589,9.862301,9.793,9.744,9.786,0.7799869800633694,O
11.018863,11.300007,10.559561,10.088,9.945,9.874,0.2824363671629198,O
11.321245,11.576408,10.906074,10.36,10.174,10.087,0.8089658889665521,A
13.716262,14.194507,13.077835,12.245,11.943,11.701,0.1948380200431415,A
14.128168,14.208925,13.97461,13.748,13.636,13.699,-0.0127272114324491,O
10.295697,10.53816,9.88641,9.393,9.255,9.197,1.179876975820526,B
6.961406,6.721318,6.7322884,6.779,6.844,6.817,0.078843716634806,O
9.403941,9.447772,9.279719,9.217,9.186,9.156,0.6165016716113055,O
8.849967,8.898726,8.709287,8.568,8.569,8.614,1.346808508196606,O
5.0137057,4.9537973,5.0705347,5.19,5.285,5.257,7.656414222303707,O
10.940376,10.8087435,10.588585,10.38,10.375,10.307,0.6221676585432682,B
9.705124,9.8907585,9.378227,9.034,8.916,8.848,1.6549278446900049,A
7.9097824,7.901186,7.7588167,7.603,7.576,7.557,3.0217274675923766,B
12.759575,13.000056,12.368877,11.798,11.686,11.553,0.1924381735378952,B
11.92985,12.203618,11.460702,10.91,10.784,10.71,0.3294111637086589,O
7.7975135,7.8142247,7.7045484,7.673,7.726,7.726,0.5957264135429874,O
11.607983,12.15854,10.883219,9.922,9.682,9.574,0.3195374163416101,A
7.1026087,7.1938767,6.8946652,6.642,6.611,6.544,4.707749223842793,B
13.214164,13.581723,12.66867,11.998,11.731,11.645,0.463182190951434,A
6.9683814,6.983657,6.8987126,6.756,6.801,6.745,2.4280412929773085,B
10.559863,10.704672,10.303436,10.001,9.949,9.92,0.7076563587591594,B
11.403602,11.553735,11.136962,10.827,10.731,10.711,0.625966691039411,B
10.532118,10.850375,10.029786,9.296,9.107,9.01,0.5530996296566085,A
11.368941,11.498098,11.113153,10.819,10.757,10.699,0.6266935557566754,O
